member_code,year,month,planned_hours,actual_hours,note
M001,2023,1,172,178,
M002,2023,1,175,162,
M003,2023,1,175,158,
M004,2023,1,181,201,
M005,2023,1,196,188,
M006,2023,1,196,192,
M007,2023,1,196,215,
M008,2023,1,163,164,
M009,2023,1,196,221,
M010,2023,1,193,180,
M011,2023,1,170,189,
M012,2023,1,164,172,
M013,2023,1,167,167,
M014,2023,1,174,173,
M015,2023,1,184,176,
M016,2023,1,166,155,
M017,2023,1,175,189,
M018,2023,1,171,179,
M019,2023,1,174,186,顧客打合せ
M020,2023,1,162,153,
M021,2023,1,192,175,
M022,2023,1,164,155,
M023,2023,1,193,177,障害対応
M024,2023,1,176,162,
M025,2023,1,171,193,
M026,2023,1,172,173,
M027,2023,1,196,217,
M028,2023,1,189,198,
M029,2023,1,191,184,
M030,2023,1,,168,
M031,2023,1,177,176,
M032,2023,1,163,159,
M033,2023,1,164,152,
M034,2023,1,166,166,
M036,2023,1,193,220,
M037,2023,1,164,166,プロジェクトA対応
M038,2023,1,185,188,
M039,2023,1,196,199,
M040,2023,1,187,174,
M041,2023,1,167,183,
M042,2023,1,178,162,
M043,2023,1,167,162,
M044,2023,1,166,177,コードレビュー
M045,2023,1,188,184,
M046,2023,1,166,159,
M047,2023,1,162,176,
M048,2023,1,181,193,
M049,2023,1,196,223,
M050,2023,1,169,163,
M051,2023,1,172,183,
M052,2023,1,192,180,
M053,2023,1,191,187,
M054,2023,1,197,199,
M055,2023,1,169,155,
M056,2023,1,166,186,
M057,2023,1,197,189,
M058,2023,1,177,163,
M059,2023,1,194,211,
M060,2023,1,196,205,
M061,2023,1,191,201,
M062,2023,1,180,204,
M063,2023,1,189,183,
M064,2023,1,173,158,
M065,2023,1,167,186,
M067,2023,1,184,204,
M068,2023,1,189,196,
M069,2023,1,191,189,
M070,2023,1,181,178,
M071,2023,1,194,209,
M072,2023,1,183,180,
M073,2023,1,169,171,ドキュメント作成
M074,2023,1,183,200,
M075,2023,1,180,195,開発作業
M076,2023,1,173,157,
M077,2023,1,189,199,
M078,2023,1,189,198,
M079,2023,1,197,182,
M080,2023,1,193,197,
M081,2023,1,185,198,コードレビュー
M082,2023,1,188,202,テスト作業
M083,2023,1,171,163,障害対応
M084,2023,1,181,185,
M085,2023,1,182,182,
M086,2023,1,189,174,
M087,2023,1,195,182,
M088,2023,1,197,210,
M089,2023,1,182,199,
M090,2023,1,170,172,要件定義作業
M091,2023,1,178,187,
M092,2023,1,189,206,
M093,2023,1,197,217,
M094,2023,1,179,185,リリース対応
M095,2023,1,184,170,
M096,2023,1,173,181,詳細設計
M097,2023,1,164,172,
M098,2023,1,195,182,
M100,2023,1,186,171,
M101,2023,1,163,,
M102,2023,1,194,188,
M103,2023,1,176,175,
M104,2023,1,166,155,
M105,2023,1,174,193,
M106,2023,1,173,181,
M107,2023,1,178,201,
M108,2023,1,163,159,
M109,2023,1,164,179,
M110,2023,1,182,165,
M111,2023,1,189,209,
M112,2023,1,187,202,
M113,2023,1,183,189,
M114,2023,1,196,,
M115,2023,1,193,217,
M116,2023,1,190,171,
M117,2023,1,197,213,
M118,2023,1,183,165,詳細設計
M119,2023,1,184,,詳細設計
M120,2023,1,195,206,
M121,2023,1,196,206,
M122,2023,1,179,190,
M123,2023,1,179,180,
M124,2023,1,167,164,
M125,2023,1,192,200,
M126,2023,1,168,161,
M127,2023,1,196,184,
M128,2023,1,193,198,
M129,2023,1,184,175,
M130,2023,1,176,193,
M131,2023,1,193,188,
M133,2023,1,193,212,
M134,2023,1,194,200,
M135,2023,1,167,175,
M136,2023,1,183,207,
M137,2023,1,163,156,
M138,2023,1,192,189,
M139,2023,1,173,182,
M140,2023,1,196,212,
M141,2023,1,193,204,
M142,2023,1,170,177,
M143,2023,1,177,179,
M144,2023,1,186,204,
M145,2023,1,197,193,リリース対応
M146,2023,1,194,217,基本設計
M147,2023,1,165,173,
M148,2023,1,178,172,
M149,2023,1,182,196,
M150,2023,1,185,200,
M151,2023,1,194,209,
M152,2023,1,178,169,
M153,2023,1,168,161,
M154,2023,1,163,176,
M155,2023,1,,177,
M156,2023,1,185,207,
M157,2023,1,175,175,
M158,2023,1,180,162,
M159,2023,1,175,183,
M160,2023,1,196,212,
M161,2023,1,180,201,
M162,2023,1,164,179,ドキュメント作成
M163,2023,1,172,158,
M164,2023,1,194,181,
M165,2023,1,182,188,
